firstname,gender,tokens
alan,male,"['great', 'littl', 'project', 'box', 'use', 'build', 'temperatur', 'control', 'light', 'well', 'shed', 'work', 'great', 'would', 'recommend', 'everyon', 'work', 'great', 'havent', 'use', 'product', 'hope', 'never', 'item', 'deliv', 'quick', 'low', 'price', 'upon', 'inspect', 'ladder', 'good', 'qualiti', 'deliv', 'quick', 'good', 'price', 'tungsten', 'materi', 'hard', 'enough', 'last', 'quit', 'even', 'steel', 'got', 'project', 'done', 'reason', 'length', 'timeyou', 'need', 'piec', 'held', 'secur', 'solid', 'strong', 'grip', 'router', 'tool', 'keep', 'grab', 'cut', 'deep', 'wrong', 'direct', 'practic', 'spare', 'piec', 'type', 'metal', 'befor', 'work', 'import', 'piec', 'dont', 'ruin', 'someth', 'cant', 'replac', 'use', 'cutter', 'help', 'run', 'full', 'speed', 'easier', 'control', 'take', 'time', 'onli', 'let', 'cut', 'littl', 'time', 'doesnt', 'jerk', 'away', 'grasp', 'yes', 'recommend', 'anyon', 'use', 'metal', 'work', 'inexpens', 'way', 'intric', 'metal', 'shape', '5x10', 'trailer', 'use', 'atv', 'sxs', 'lawnmow', 'need', 'someth', 'like', 'would', 'easi', 'move', 'side', 'rail', 'reloc', 'attatch', 'point', 'work', 'ok', 'fold', 'flat', 'use', 'flimsi', 'becaus', 'fold', 'flat', 'destroy', 'bend', 'bump', 'tire', 'veri', 'good', 'use', 'tapcon', 'screw', 'hole', 'drill', 'concret', 'bit', 'hammer', 'drill', 'fasten', 'fasttrack', 'concret', 'wall', 'garag', 'vertic', 'shelf', 'bracket', 'simpli', 'snap', 'onto', 'fasttrack', 'shelf', 'support', 'fit', 'right', 'vertic', 'bracket', 'purchas', 'rubbermaid', 'wire', 'shelv', 'separ', 'design', 'lock', 'shelf', 'bracket', 'great', 'system', 'rubbermaid', 'fasttrack', 'system', 'garag', 'work', 'great', 'probabl', 'rare', 'flaw', 'water', 'proof', 'need', 'keep', 'pipe', 'open', 'right', 'water', 'line', 'stock', 'tank', 'order', 'anoth', 'one', 'ok', 'first', 'got', 'paslod', 'work', 'time', 'time', 'howev', 'lot', 'problem', 'like', 'onli', 'use', 'occasion', 'gas', 'cartridg', 'go', 'bad', 'batteri', 'go', 'bad', 'lubric', 'drypart', 'hard', 'get', 'repair', 'expens', 'might', 'well', 'toss', 'trash', 'stop', 'work', 'tri', 'order', 'new', 'spark', 'plug', 'onlin', 'look', 'everywher', 'local', 'nobodi', 'sell', 'tini', 'plug', 'onli', 'cost', 'weigh', 'onli', '25gram', 'couldnt', 'find', 'anyon', 'would', 'ship', 'item', '1500present', 'cant', 'get', 'gun', 'work', 'fire', 'less', 'nail', 'sinc', 'purchas', 'three', 'year', 'ago', 'recent', 'need', 'wouldnt', 'work', 'clean', 'oil', 'purchas', 'new', 'batteri', 'new', 'gas', 'cartridg', 'still', 'wont', 'work', 'contact', 'paslod', 'didnt', 'find', 'veri', 'help', 'get', 'readi', 'trash', 'iti', 'tri', 'order', 'tuneup', 'kit', 'three', 'differ', 'amazon', 'seller', 'sell', 'california', 'buyer', 'becaus', 'one', 'seller', 'told', 'item', 'restrict', 'california', 'sell', 'go', 'figur', 'veri', 'difficult', 'find', 'ani', 'part', 'paslod', 'san', 'francisco', 'area', 'cant', 'buy', 'onlin', 'eitherif', 'tradesman', 'use', 'tool', 'everyday', 'mayb', 'would', 'realli', 'merit', 'star', 'occasion', 'user', 'much', 'much', 'better', 'purchas', 'choic', 'would', 'dewalt', '18v', 'finish', 'nailer', 'occasion', 'user', 'purchas', 'set', 'coupl', 'week', 'ago', 'much', 'research', 'reserv', 'pay', 'sd508', 'recommend', 'local', 'woodcraft', 'store', 'owner', 'mani', 'good', 'review', 'bit', 'bullet', 'order', 'set', 'could', 'happier', 'cut', 'dado', 'first', 'cabinet', 'project', 'yesterdayfollow', 'instruct', 'video', 'abl', 'cut', 'perfect', 'fit', 'dado', 'cabinet', 'carcass', 'shelv', 'would', 'taken', 'hour', 'get', 'perfect', 'fit', 'use', 'shim', 'onli', 'took', 'minut', 'set', 'perfect', 'cut', 'width', 'set', 'paid', 'time', 'save', 'eas', 'use', 'save', 'time', 'cut', 'beauti', 'fantast', 'fragranc', 'wife', 'love', 'alway', 'get', 'compliment', 'public', 'dont', 'know', 'whi', 'fallen', 'favor', 'general', 'public', 'guess', 'got', 'popular', 'go', 'giorgio']"
albert,male,"['seem', 'heavi', 'except', 'bolt', 'nut', 'assembl', 'tad', 'smaller', 'locknut', 'less', 'nylon', 'metric', 'longer', 'made', 'usa', 'shampoo', 'work', 'describ', 'littl', 'surpris', 'small', 'size', 'bottl', 'onc', 'receiv', '85oz', 'veri', 'much', 'pictur', 'look', 'like', 'full', 'size', 'bottl', 'onli', 'complaint', 'onli', 'use', 'short', 'time', 'happi', 'usin', 'smaller', 'amount', 'shampoo', 'seem', 'work', 'finesom', 'gray', 'hair', 'shampoo', 'unpleas', 'odor', 'one', 'pleasent', 'aroma', 'compar', 'happi', 'purchas']"
alejandra,female,"['absolut', 'love', 'flawless', 'finish', 'easi', 'applic', 'becaus', 'wear', 'foundat', 'often', 'appli', 'light', 'coverag', 'love', 'easi', 'build', 'color', 'want', 'heavier', 'coverag', 'leav', 'streak', 'like', 'brush', 'might', 'beauti', 'must']"
alejandro,male,"['know', 'glue', 'use', 'top', 'sticker', 'worth', 'point', 'tri', 'kind', 'sand', 'noth', 'work', 'paint', 'thinner', 'rub', 'alcohol', 'goo', 'gone', 'goof', 'degreas', 'chlorin', 'power', 'wash', 'etc', 'left', 'sand', 'polish', 'great', 'box', 'anoth', 'one', 'remov', 'sticker', 'glue', 'one', 'like', 'remov', 'glue', 'duct', 'tapeupd', '04012014i', 'return', 'case', 'receiv', 'new', 'one', 'amazon', 'time', 'sticker', 'peel', 'veri', 'easi', 'appar', 'sticker', 'issu', 'correct', 'manufactur', 'star', 'hell', 'sticker', 'star']"
alena,female,"['order', 'gift', 'friend', 'think', 'would', 'like', 'although', 'didnt', 'open', 'hope', 'jenif', 'lopez', 'wont', 'disappoint', 'gift', 'friend']"
alessa,female,"['would', 'recommend', 'havent', 'use', 'yet', 'hope', 'use', 'work', 'great', 'review', 'read', 'havent', 'use', 'yet', 'review', 'great', 'use', 'product', 'volum', 'develop', 'well', 'work', 'awesom', 'alway', 'buy', 'tone', 'hair', 'befor', 'hair', 'orangey', 'pink', 'color', 'becaus', 'hair', 'previous', 'red', 'love', 'awesom', 'product']"
alexander,male,"['buy', '34tti', 'charge34', 'gift', 'dad', 'decid', 'buy', 'humbl', '34new', 'wave34', 'base', 'idea', 'almost', 'tool', 'without', 's30v', 'blade', 'steel', 'frame', 'instead', 'titanium', 'one', 'also', 'addit', 'bitdriv', 'insert', 'detach', 'clip', 'lanyard', 'ring', 'sheath', 'slight', 'cheaper', 'actual', 'perfect', 'set', 'onli', 'thing', 'realli', 'use', 'idea', 'save', 'includ', 'lower', 'expect', 'qualiti', '34made', 'usa34', 'leatherman', 'model', 'suppos', '34el', 'cheapo34', 'got', 'idea', 'well', 'idea', 'wrongnow', 'tool', 'hand', 'yes', 'almost', 'ident', 'term', 'toolset', 'general', 'design', 'except', 'cut', 'hook', 'serrat', 'blade', 'slight', 'differ', 'shape', 'plier', 'head', 'tti', 'charg', 'fine', 'differ', 'qualiti', 'tti', 'charg', 'dream', 'smooth', 'onehand', 'open', 'blade', 'easi', 'open', 'close', 'tool', 'perfect', 'finish', '34new', 'wave34', 'receiv', 'opposit', 'finish', 'frame', 'primari', 'blade', 'poor', 'assembl', 'qualiti', 'bad', 'imposs', 'open', 'either', 'blade', 'onehand', 'sometim', 'even', 'hand', 'small', 'tool', 'veri', 'difficult', 'put', 'back', 'plier', 'veri', 'tight', 'open', 'creaki', 'soundsom', 'peopl', 'complain', 'product', 'made', 'us', 'think', 'becaus', 'small', 'sticker', 'insid', 'box', 'say', 'someth', 'like', '34part', 'xxx', 'made', 'china34', 'dont', 'rememb', 'number', 'found', 'sheath', 'number', 'dont', 'care', 'sheath', 'probabl', 'would', 'use', 'anyway', 'everyth', 'els', 'match', 'descript', 'set', 'tool', 'photo', 'etc', 'seller', '34amazon', 'llc34', 'compar', 'two', 'tool', '34tti', 'charge34', '34new', 'wave34', 'side', 'side', 'made', 'think', '34new', 'wave34', 'authent', 'small', 'tool', 'look', 'ident', '34tti', 'charge34', 'overal', 'qualiti', '34new', 'wave34', 'wors', 'much', 'worsei', 'disappoint', 'yes', 'price', 'lower', 'tti', 'charg', 'still', 'cheap', 'product', 'extra', 'price', 'tti', 'includ', 'prici', 'thing', 's30v', 'blade', 'titanium', 'frame', 'also', 'numer', 'addit', 'part', 'explain', 'differ', 'qualityi', 'comment', 'perform', 'tool', 'sinc', 'start', 'use', 'even', 'tri', 'luck', 'becaus', 'poor', 'assembl', 'qualiti', 'conveni', 'tool', 'use', 'send', 'back', 'refund', 'mayb', 'knockoff', 'mayb', 'usa', 'made', 'veri', 'poor', 'qualiti', 'super', 'product', 'veri', 'comfort', 'great', 'sound', 'supress', 'worth', 'extra', 'might', 'cost', 'like', 'say', 'get', 'pay', 'pay', 'best', 'found', 'minus', 'one', 'star', 'becaus', 'cord', 'short', 'everyth', 'els', 'great', 'work', 'without', 'ani', 'issu', 'high', 'recommend', 'great', 'petroleum', 'base', 'glue', 'make', 'hair', 'feel', 'like', 'sticki', 'crud', 'work', 'lot', 'hair', 'thick', 'spread', 'even', 'petroleum', 'jelli', 'hair', 'got', 'mirror', 'wife', 'love', 'veri', 'much', 'must', 'make', 'morn', 'ladi', 'pretti', 'kool']"
alexandra,female,"['everi', 'hair', 'pore', 'spot', 'blemish', 'lineif', 'type', 'get', 'paranoid', 'think', 'peopl', 'see', 'face', 'dont', 'get', 'mirror', 'want', 'awesom', 'clariti', 'great', 'light', 'tweez', 'hair', 'close', 'task', 'busi', 'clear', 'day', 'work', 'well', 'dreami', 'use', 'acryl', 'nail', 'ruin', 'natur', 'one', 'year', 'someon', 'told', 'duri', 'stuff', 'amaz', 'nail', 'long', 'gorgeous', 'never', 'even', 'befor', 'acryl', 'liter', 'recommend', 'stuff', 'girlfriend', 'time', 'year', 'pleas', 'want', 'gorgeous', 'strong', 'nail', 'buy', 'stuff', 'worth', 'price', 'million', 'time', 'love', 'stuff', 'use', 'shampoo', 'condition', 'daili', 'week', 'anyth', 'hair', 'expens', 'continu', 'use', 'doesnt', 'anyth']"
alexandria,female,"['like', 'product', 'ship', 'littl', 'delay', 'kinda', 'unclear', 'payment', 'actual', 'hit', 'account', 'seem', 'kinda', 'strang', 'eventu', 'made', 'destin', 'order', 'sent', 'littl', 'overpr', 'custom', 'servic', 'line', 'find', 'inform', 'help', 'ladi', 'sound', 'like', 'bother', 'overal', 'id', 'buy', 'product', 'product', 'fine', 'servic', 'suck', 'buy', 'product', 'servic']"
alfonso,male,"['bought', 'ledu', 'lamp', 'becaus', 'previous', 'swing', 'arm', 'lamp', 'brand', 'unknown', 'bust', 'switch', 'use', 'lamp', 'work', 'desk', 'read', 'becaus', 'eyesight', 'need', 'good', 'light', 'combin', 'flouresc', 'incadesc', 'give', 'good', 'light', 'direct', 'want', 'push', 'button', 'switch', 'easi', 'use', 'swing', 'arm', 'clamp', 'real', 'heavi', 'duti', 'dont', 'move', 'veri', 'much', 'month', 'problem', 'nice', 'bright', 'lamp']"
alfredo,male,"['love', 'brand', 'use', 'everi', 'day', 'similar', 'one', 'befor', 'whi', 'bought', 'oneth', 'onli', 'issu', 'see', 'brush', 'littl', 'loos', 'brush', 'littl', 'loos', 'one', 'father', 'christma', 'gift', 'happi', 'smell', 'cologn', 'victorinox', 'product', 'definet', 'good', 'stuff', 'best', 'victorinox']"
alice,female,"['good', 'product', 'use', 'enclos', 'screen', 'porch', 'area', 'winter', 'element', 'use', 'mil', 'doubl', 'place', 'work', 'fine', 'x', 'ft', 'roll', 'plastic', 'sheet', 'product', 'help', 'make', 'hair', 'thicker', 'opinion', 'big', 'side', 'least', 'case', 'leav', 'bit', 'dri', 'kill', 'natur', 'shine', 'hairi', 'guess', 'prefer', 'finish', 'look', 'better', 'small', 'talk', 'bed', 'head', 'smell', 'much', 'betterfor', 'price', 'pay', 'think', 'worth', 'everi', 'day', 'use', 'dont', 'want', 'pay', 'thicken', 'spray', 'like', 'one', 'bumbl', 'bumbl', 'awesom', 'super', 'expens', 'use', 'daili', 'ok', 'product']"
alicia,female,"['boyfriend', 'littl', 'clumsi', 'bought', 'glove', 'protect', 'finger', 'hes', 'use', 'mandolin', 'hes', 'happi', 'work', 'im', 'happi', 'dont', 'take', 'er', 'wonder', 'valu', 'size', 'great', 'small', 'purs', 'pocket', 'varieti', 'tool', 'good', 'love', 'color', 'wish', 'smaller', 'phillip', 'screwdriv', 'disappoint', 'somewhat', 'danger', 'blade', 'dont', 'lock', 'place', 'larger', 'tool', 'watch', 'finger', 'handi', 'size', 'blade', 'dont', 'lock']"
alisha,female,"['use', 'bare', 'miner', 'foundat', 'month', 'general', 'realli', 'pleas', 'brand', 'im', 'student', 'isnt', 'particular', 'concern', 'spend', 'huge', 'amount', 'time', 'mirror', 'morn', 'appli', 'makeup', 'id', 'rather', 'spend', 'time', 'bed', 'bare', 'miner', 'work', 'fair', 'easi', 'appli', 'dont', 'need', 'add', 'layer', 'layer', 'get', 'decent', 'coveragemi', 'skin', 'type', 'oili', 'fair', 'uneven', 'skin', 'tone', 'due', 'bad', 'skin', 'teen', 'year', 'like', 'foundat', 'due', 'fact', 'light', 'creami', 'powder', 'liquid', 'foundat', 'seem', 'realli', 'irrit', 'skin', 'also', 'onli', 'small', 'number', 'think', 'five', 'ingredi', 'foundat', 'veri', 'littl', 'compar', 'brand', 'also', 'sell', 'point', 'im', 'overload', 'face', 'unnecessari', 'chemicalsi', 'would', 'say', 'onc', 'appli', 'usual', 'top', 'onc', 'twice', 'dure', 'day', 'onli', 'quick', 'onceov', 'brush', 'take', 'less', 'minut', 'foundat', 'doe', 'give', 'coverag', 'howev', 'also', 'use', 'conceal', 'spot', 'dark', 'circl', 'coverag', 'doesnt', 'hide', 'obvious', 'problem', 'areasoveral', 'veri', 'impress', 'foundat', 'would', 'give', 'reason', 'first', 'would', 'prefer', 'last', 'longer', 'rub', 'easili', 'second', 'becaus', 'although', 'market', 'around', 'student', 'budget', 'still', 'fair', 'prici', 'would', 'recommend', 'anyon', 'like', 'want', 'quick', 'easi', 'foundat', 'fix', 'wouldnt', 'recommend', 'anyon', 'want', 'day', 'maximum', 'coverag', 'unless', 'accompani', 'decent', 'conceal', 'reliabl', 'foundat']"
alison,female,"['im', 'wannab', 'hairdress', 'alway', 'even', 'littl', 'pretti', 'obsess', 'hair', 'hair', 'everyon', 'hair', 'learn', 'color', 'hair', 'best', 'friend', 'trea', 'taught', 'well', 'beauti', 'suppli', 'store', 'snob', 'would', 'onli', 'use', 'drugstor', 'product', 'dire', 'sever', 'emerg', 'like', 'grammi', 'root', 'showingso', 'ive', 'snob', 'box', 'color', 'year', 'recent', 'twin', 'amazon', 'goto', 'everi', 'singl', 'thing', 'needi', 'grey', 'root', 'medium', 'brown', 'cherri', 'red', 'veri', 'veri', 'black', 'cauldron', 'hell', 'bottom', 'half', 'long', 'hair', 'dy', 'blue', 'black', 'color', 'work', 'buti', 'digress', 'expect', 'ani', 'miracl', 'colori', 'got', 'miracl', 'becaus', 'use', 'tortoiseshel', 'brown', 'brand', 'befor', 'use', 'color', 'great', 'color', 'harsh', 'want', 'hair', 'lighten', 'bit', 'thrash', 'volum', 'right', 'lighter', 'hair', 'appli', 'one', 'came', 'incred', 'welli', 'would', 'say', 'fail', 'product', 'except', 'hair', 'color', 'depend', 'entir', 'absolut', 'youv', 'got', 'head', 'youv', 'done', 'shape', 'ini', 'would', 'especi', 'recommend', 'color', 'peopl', 'highlight', 'within', 'last', 'year', 'sort', 'disappear', 'color', 'whole', '34shimmering34', 'thing', 'ferialor', 'hype', 'real', 'incredibleit', 'harsh', 'hair', 'know', 'use', 'enclos', 'hydrogen', 'peroxid', 'switch', 'volum', 'probabl', 'wont', 'get', 'shimmer', 'lift', 'theyr', 'talk', 'hit', 'hair', 'volum', 'perox', 'blow', 'boxdrugstor', 'color', 'job', 'dont', 'use', 'loreal', 'color', 'wella', 'beauti', 'suppli', 'thing', 'unless', 'hair', 'good', 'shapethi', 'particular', 'color', 'box', 'almost', 'waist', 'length', 'fine', 'hair', 'left', 'min', 'longer', 'suggest', 'without', 'appli', 'heat', 'result', 'excel', 'grey', 'coverag', 'brilliant', 'chocol', 'cherri', 'color', 'final', 'real', 'chocol', 'cherri', 'caveat', 'noth', 'seem', 'work', 'tri', 'dermatologist', 'recommend', 'cleanser', 'onli', 'use', 'onc', 'see', 'differ', 'alreadi', 'skin', 'much', 'softer', 'realli', 'like', 'son', 'kp', 'keratosi', 'pilari', 'first', 'product', 'seem', 'great', 'nice', 'light', 'scent', 'textureuntil', 'use', 'second', 'time', 'breast', 'broke', 'terribl', 'red', 'unbear', 'itchi', 'rash', 'even', 'small', 'hive', 'funni', 'onli', 'caus', 'reaction', 'breast', 'belli', 'howev', 'appli', 'belli', 'skin', 'breast', 'much', 'stretch', 'stomach', 'day', 'sinc', 'use', 'product', 'rash', 'still', 'terribl', 'itchi', 'red', 'hard', 'put', 'bra', 'normal', 'sensit', 'skin', 'never', 'kind', 'reaction', 'skincar', 'product', 'itchi', 'rash']"
allan,male,"['doesnt', 'wake', 'hes', 'dead', 'simpl', 'strong', 'work', 'well', 'easi', 'use', 'exact', 'advertis', 'doesnt', 'wake', 'yes', 'doe', 'like', 'sound', 'fill', 'gap', 'would', 'thought', 'word', 'anyon', 'purchas', 'product', 'appar', 'jurisdict', 'legal', 'fill', 'offens', 'loudmouth', 'pie', 'hole', 'expand', 'foam', 'say', 'work', 'shut', 'problem', 'plug', 'one', 'mouth', 'expand', 'foam', 'appar', 'frown', 'upon', 'civil', 'societi', 'use', 'rest', 'pond', 'whi', 'origin', 'bought', 'fill', 'gap']"
allen,male,"['model', 'yearsus', 'frame', 'constantlybut', 'final', 'burn', 'like', 'welli', 'want', 'exact', 'model', 'bought', 'itit', 'great', 'tool', 'none', 'like', 'product', 'everyth', 'advertis', 'work', 'great', 'craftsmen', 'inch', 'contractor', 'sawnow', 'notsogoodnew', 'bosch', 'doe', 'great', 'job', 'packag', 'someon', 'handl', 'box', 'vey', 'careless', 'even', 'though', 'packag', 'heavi', 'styrofoam', 'thick', 'cardboard', 'obvious', 'dump', 'hard', 'styrofoam', 'broke', 'sever', 'place', 'coupl', 'nice', 'paint', 'tube', 'scratch', 'veri', 'disappoint', 'packag', 'pretti', 'well', 'done', 'would', 'handl', 'even', 'rough', 'handl', 'someon', 'one', 'product', 'great', 'handl', 'need', 'improv', 'order', '34toutlin', 'head34', 'exact', 'shown', 'product', 'pictur', 'receiv', 'squar', 'head', 'blade', 'call', 'inform', 'mistak', 'told', 'would', 'need', 'ship', 'wrong', 'blade', 'back', 'wait', 'sent', 'correct', 'blade', 'annoy', 'need', 'blade', 'asap', 'kept', 'squar', 'head', 'bladein', 'term', 'squar', 'head', 'blade', 'great', 'box', 'without', 'adjust', 'blade', 'promat', 'blade', 'cut', 'slight', 'better', 'factori', 'andi', 'blade', 'adjust', 'zero', 'andi', 'blade', 'much', 'better', 'use', 'promat', 'blade', 'month', 'didnt', 'like', 'much', 'switch', 'back', 'andi', 'blade', 'veri', 'impress', 'sent', 'wrong', 'blade']"
allison,female,"['look', 'awesom', 'ive', 'month', 'fair', 'regular', 'use', 'use', 'whittl', 'still', 'sharpi', 'wish', 'scissor', 'great', 'knife', 'product', 'good', 'cover', 'sunspot', 'put', 'foundat', 'also', 'use', 'spot', 'hand', 'last', 'day', 'veri', 'good', 'product', 'use', 'everi', 'day']"
alma,female,"['love', 'product', 'serum', 'hydrat', 'skin', 'like', 'way', 'skin', 'feel', 'repair', 'skin', 'work', 'serum', 'product', 'goodit', 'smooth', 'oilygreat', 'price', 'wrinkl', 'great', 'dark', 'circley', 'would', 'buy', 'eye', 'cream', 'love', 'face', 'feel', 'use', 'cream', 'past', 'month', 'face', 'feel', 'regener', 'even', 'yr', 'old', 'daughter', 'use', 'never', 'young', 'start', 'take', 'care', 'face', 'great', 'product']"
alvaro,male,"['need', 'measur', 'voltag', 'current', 'power', 'onli', 'practic', 'use', 'afford', 'instrument', 'found', 'bought', 'mistak', 'ez', 'killawatt', 'made', 'report', 'cost', 'consum', 'electr', 'power', 'need', 'power', 'read', 'total', 'kwhour', 'consumedit', 'also', 'measur', 'frequenc', 'kill', 'watt']"
